# pump_rate_ft3_per_day annual_volume_m3_per_year annual_volume_million_m3_per_year cost_p10_usd_per_year cost_p20_usd_per_year cost_p30_usd_per_year cost_p40_usd_per_year cost_p50_usd_per_year cost_p60_usd_per_year cost_p70_usd_per_year cost_p80_usd_per_year cost_p90_usd_per_year cost_p10_kusd_per_year cost_p20_kusd_per_year cost_p30_kusd_per_year cost_p40_kusd_per_year cost_p50_kusd_per_year cost_p60_kusd_per_year cost_p70_kusd_per_year cost_p80_kusd_per_year cost_p90_kusd_per_year energy_p10_kwh_per_year energy_p20_kwh_per_year energy_p30_kwh_per_year energy_p40_kwh_per_year energy_p50_kwh_per_year energy_p60_kwh_per_year energy_p70_kwh_per_year energy_p80_kwh_per_year energy_p90_kwh_per_year
4.415073709483793209e+04 4.563265219719610759e+05 4.563265219719610521e-01 8.587939796186487001e+03 8.676450219818540063e+03 8.758732409691583598e+03 8.844412539898768955e+03 8.902477417285159390e+03 8.980279715547480009e+03 9.062444063012299011e+03 9.149130679617863279e+03 9.300698476221150486e+03 8.587939796186487840e+00 8.676450219818539367e+00 8.758732409691583953e+00 8.844412539898769410e+00 8.902477417285158623e+00 8.980279715547480279e+00 9.062444063012298656e+00 9.149130679617863748e+00 9.300698476221150202e+00 8.587939796186487365e+04 8.676450219818539335e+04 8.758732409691583598e+04 8.844412539898768591e+04 8.902477417285158299e+04 8.980279715547479282e+04 9.062444063012300467e+04 9.149130679617862916e+04 9.300698476221150486e+04
4.638057230164793145e+04 4.793733160109490273e+05 4.793733160109490132e-01 9.460516666839010213e+03 9.589595881261364411e+03 9.690549091374674390e+03 9.756733111177729370e+03 9.818235013283334411e+03 9.890155083536346865e+03 9.970100990416683999e+03 1.009930178432609682e+04 1.022096632934743866e+04 9.460516666839010824e+00 9.589595881261363530e+00 9.690549091374673907e+00 9.756733111177728901e+00 9.818235013283334922e+00 9.890155083536347647e+00 9.970100990416684184e+00 1.009930178432609615e+01 1.022096632934743887e+01 9.460516666839009849e+04 9.589595881261363684e+04 9.690549091374674754e+04 9.756733111177728279e+04 9.818235013283333683e+04 9.890155083536345046e+04 9.970100990416682907e+04 1.009930178432609682e+05 1.022096632934743830e+05
4.861040750845793082e+04 5.024201100499369786e+05 5.024201100499370298e-01 1.043407128221613129e+04 1.057943987818463393e+04 1.068632099577234294e+04 1.077469113617862786e+04 1.083898261945152626e+04 1.092844294861718845e+04 1.103929154535959606e+04 1.116085381736234740e+04 1.129031709518385833e+04 1.043407128221613078e+01 1.057943987818463327e+01 1.068632099577234307e+01 1.077469113617862817e+01 1.083898261945152619e+01 1.092844294861718879e+01 1.103929154535959611e+01 1.116085381736234794e+01 1.129031709518385895e+01 1.043407128221613093e+05 1.057943987818463211e+05 1.068632099577234185e+05 1.077469113617862749e+05 1.083898261945152481e+05 1.092844294861718809e+05 1.103929154535959533e+05 1.116085381736234704e+05 1.129031709518385615e+05
5.084024271526792290e+04 5.254669040889248718e+05 5.254669040889248244e-01 1.147697182970737958e+04 1.163726872579204428e+04 1.177321629557630331e+04 1.187150758464626415e+04 1.196269046527139653e+04 1.204803580016936212e+04 1.214199429582657831e+04 1.225750177917829023e+04 1.245522233060413600e+04 1.147697182970737906e+01 1.163726872579204397e+01 1.177321629557630267e+01 1.187150758464626499e+01 1.196269046527139679e+01 1.204803580016936237e+01 1.214199429582657785e+01 1.225750177917828942e+01 1.245522233060413519e+01 1.147697182970737922e+05 1.163726872579204355e+05 1.177321629557630222e+05 1.187150758464626269e+05 1.196269046527139726e+05 1.204803580016936176e+05 1.214199429582657758e+05 1.225750177917828842e+05 1.245522233060413710e+05
5.307007792207792954e+04 5.485136981279129395e+05 5.485136981279129520e-01 1.265373870589913713e+04 1.281386873094758266e+04 1.294387982958728935e+04 1.301991831856755380e+04 1.313500032951283720e+04 1.323049365011089321e+04 1.333077705734391020e+04 1.346067431455080987e+04 1.365270109495726501e+04 1.265373870589913707e+01 1.281386873094758272e+01 1.294387982958728855e+01 1.301991831856755333e+01 1.313500032951283636e+01 1.323049365011089407e+01 1.333077705734391039e+01 1.346067431455080943e+01 1.365270109495726558e+01 1.265373870589913568e+05 1.281386873094758193e+05 1.294387982958728826e+05 1.301991831856755452e+05 1.313500032951283792e+05 1.323049365011089249e+05 1.333077705734390765e+05 1.346067431455081096e+05 1.365270109495726356e+05
5.529991312888792163e+04 5.715604921669008909e+05 5.715604921669008576e-01 1.377360599532006745e+04 1.398974209203787541e+04 1.415147231638648191e+04 1.429280766317266352e+04 1.441040599729063979e+04 1.450848485018535393e+04 1.461969091958100398e+04 1.474724130123906980e+04 1.498817600623327053e+04 1.377360599532006802e+01 1.398974209203787566e+01 1.415147231638648151e+01 1.429280766317266327e+01 1.441040599729064020e+01 1.450848485018535428e+01 1.461969091958100364e+01 1.474724130123906995e+01 1.498817600623327095e+01 1.377360599532006599e+05 1.398974209203787323e+05 1.415147231638648082e+05 1.429280766317266389e+05 1.441040599729063979e+05 1.450848485018535284e+05 1.461969091958100325e+05 1.474724130123906943e+05 1.498817600623327016e+05
5.752974833569791372e+04 5.946072862058887258e+05 5.946072862058887631e-01 1.518849537825361949e+04 1.538284884204431000e+04 1.551452586837055242e+04 1.559737094883511236e+04 1.571152234573290662e+04 1.584132747119844862e+04 1.598356187767292795e+04 1.615890179798483769e+04 1.639190701743572208e+04 1.518849537825362006e+01 1.538284884204431080e+01 1.551452586837055314e+01 1.559737094883511155e+01 1.571152234573290585e+01 1.584132747119844886e+01 1.598356187767292802e+01 1.615890179798483928e+01 1.639190701743572376e+01 1.518849537825362058e+05 1.538284884204430855e+05 1.551452586837055278e+05 1.559737094883511309e+05 1.571152234573290625e+05 1.584132747119844717e+05 1.598356187767292722e+05 1.615890179798483732e+05 1.639190701743572135e+05
5.975958354250791308e+04 6.176540802448766772e+05 6.176540802448766687e-01 1.652845494830233292e+04 1.677758709202708997e+04 1.695716326713145099e+04 1.708482030310937625e+04 1.720903855109522556e+04 1.733876793460787667e+04 1.748910589784680269e+04 1.761816064490066856e+04 1.784821254450353081e+04 1.652845494830233264e+01 1.677758709202709042e+01 1.695716326713145250e+01 1.708482030310937461e+01 1.720903855109522596e+01 1.733876793460787624e+01 1.748910589784680170e+01 1.761816064490066935e+01 1.784821254450353223e+01 1.652845494830233511e+05 1.677758709202708560e+05 1.695716326713144954e+05 1.708482030310937844e+05 1.720903855109522701e+05 1.733876793460787740e+05 1.748910589784680342e+05 1.761816064490067074e+05 1.784821254450353154e+05
6.198941874931790517e+04 6.407008742838645121e+05 6.407008742838644633e-01 1.811200091710965717e+04 1.836198414573532136e+04 1.853462009803240289e+04 1.866951517667746521e+04 1.881174543260606515e+04 1.896358361780012274e+04 1.913849483932042494e+04 1.928259676068605768e+04 1.965572422008246576e+04 1.811200091710965765e+01 1.836198414573532034e+01 1.853462009803240207e+01 1.866951517667746430e+01 1.881174543260606669e+01 1.896358361780012203e+01 1.913849483932042617e+01 1.928259676068605799e+01 1.965572422008246534e+01 1.811200091710965789e+05 1.836198414573532355e+05 1.853462009803240362e+05 1.866951517667746521e+05 1.881174543260606297e+05 1.896358361780012201e+05 1.913849483932042494e+05 1.928259676068605622e+05 1.965572422008246649e+05
6.421925395612790453e+04 6.637476683228524635e+05 6.637476683228524799e-01 1.973540037584082165e+04 1.998212617246515583e+04 2.016353314285530359e+04 2.035187512762634651e+04 2.052677630659367787e+04 2.067228823160077081e+04 2.080257913061899308e+04 2.099822936098150240e+04 2.129628551946547304e+04 1.973540037584082185e+01 1.998212617246515421e+01 2.016353314285530374e+01 2.035187512762634654e+01 2.052677630659367836e+01 2.067228823160077056e+01 2.080257913061899444e+01 2.099822936098150095e+01 2.129628551946547432e+01 1.973540037584081874e+05 1.998212617246515583e+05 2.016353314285530359e+05 2.035187512762634433e+05 2.052677630659367424e+05 2.067228823160077154e+05 2.080257913061899017e+05 2.099822936098150094e+05 2.129628551946547232e+05
