# pump_rate_ft3_per_day annual_volume_m3_per_year annual_volume_million_m3_per_year cost_p10_usd_per_year cost_p20_usd_per_year cost_p30_usd_per_year cost_p40_usd_per_year cost_p50_usd_per_year cost_p60_usd_per_year cost_p70_usd_per_year cost_p80_usd_per_year cost_p90_usd_per_year cost_p10_kusd_per_year cost_p20_kusd_per_year cost_p30_kusd_per_year cost_p40_kusd_per_year cost_p50_kusd_per_year cost_p60_kusd_per_year cost_p70_kusd_per_year cost_p80_kusd_per_year cost_p90_kusd_per_year energy_p10_kwh_per_year energy_p20_kwh_per_year energy_p30_kwh_per_year energy_p40_kwh_per_year energy_p50_kwh_per_year energy_p60_kwh_per_year energy_p70_kwh_per_year energy_p80_kwh_per_year energy_p90_kwh_per_year
8.874744123103786842e+04 9.172624027517196955e+05 9.172624027517196632e-01 4.685890367017304379e+04 4.789641344068066246e+04 4.865308377388346707e+04 4.928693503865025559e+04 4.991561678281816421e+04 5.050730672070923902e+04 5.099283027091720578e+04 5.166510735996942094e+04 5.285119280856252590e+04 4.685890367017304214e+01 4.789641344068066076e+01 4.865308377388346628e+01 4.928693503865025605e+01 4.991561678281816228e+01 5.050730672070923788e+01 5.099283027091720299e+01 5.166510735996941861e+01 5.285119280856252288e+01 4.685890367017303943e+05 4.789641344068066101e+05 4.865308377388346125e+05 4.928693503865025705e+05 4.991561678281816421e+05 5.050730672070923611e+05 5.099283027091720141e+05 5.166510735996942385e+05 5.285119280856251717e+05
9.097727643784787506e+04 9.403091967907078797e+05 9.403091967907079018e-01 5.028434000627712521e+04 5.161837087614458142e+04 5.240496708138490794e+04 5.292121715093757666e+04 5.364000727123436809e+04 5.447767882348223065e+04 5.520583835317181365e+04 5.621300773605816357e+04 5.738031323123372567e+04 5.028434000627712663e+01 5.161837087614458142e+01 5.240496708138491044e+01 5.292121715093757928e+01 5.364000727123436718e+01 5.447767882348222912e+01 5.520583835317181354e+01 5.621300773605816659e+01 5.738031323123372829e+01 5.028434000627712812e+05 5.161837087614458287e+05 5.240496708138490212e+05 5.292121715093756793e+05 5.364000727123436518e+05 5.447767882348222192e+05 5.520583835317181656e+05 5.621300773605816066e+05 5.738031323123371694e+05
9.320711164465786715e+04 9.633559908296955982e+05 9.633559908296955854e-01 5.434121109600993077e+04 5.592512733587298862e+04 5.720263157911292365e+04 5.802653795581236773e+04 5.884642807042490313e+04 5.962090840988136915e+04 6.040369222378543054e+04 6.125934155237915547e+04 6.255136918188940763e+04 5.434121109600992838e+01 5.592512733587298612e+01 5.720263157911292495e+01 5.802653795581236551e+01 5.884642807042490631e+01 5.962090840988136620e+01 6.040369222378542702e+01 6.125934155237915490e+01 6.255136918188940598e+01 5.434121109600992640e+05 5.592512733587297844e+05 5.720263157911292510e+05 5.802653795581236482e+05 5.884642807042489294e+05 5.962090840988137061e+05 6.040369222378542181e+05 6.125934155237915693e+05 6.255136918188940035e+05
9.543694685146785923e+04 9.864027848686835496e+05 9.864027848686836020e-01 5.820147579890135239e+04 6.015653663418478391e+04 6.114819675510453817e+04 6.238222398088018235e+04 6.340608662103646202e+04 6.433081453768732172e+04 6.525216875167978287e+04 6.626450683514229604e+04 6.789832930741299060e+04 5.820147579890134892e+01 6.015653663418478203e+01 6.114819675510453578e+01 6.238222398088018394e+01 6.340608662103646509e+01 6.433081453768731706e+01 6.525216875167978969e+01 6.626450683514229922e+01 6.789832930741299322e+01 5.820147579890134512e+05 6.015653663418478100e+05 6.114819675510453526e+05 6.238222398088017944e+05 6.340608662103646202e+05 6.433081453768732026e+05 6.525216875167977996e+05 6.626450683514230186e+05 6.789832930741298478e+05
9.766678205827785132e+04 1.009449578907671501e+06 1.009449578907671397e+00 6.235118617415118206e+04 6.439665395542491024e+04 6.547735971026292100e+04 6.690586299430867075e+04 6.785160924506923766e+04 6.916223556802468374e+04 7.034430397925415309e+04 7.162519910626388446e+04 7.387132227655891620e+04 6.235118617415118081e+01 6.439665395542490955e+01 6.547735971026291679e+01 6.690586299430867712e+01 6.785160924506924118e+01 6.916223556802468408e+01 7.034430397925414979e+01 7.162519910626387798e+01 7.387132227655891370e+01 6.235118617415118497e+05 6.439665395542491460e+05 6.547735971026291372e+05 6.690586299430866493e+05 6.785160924506923184e+05 6.916223556802468374e+05 7.034430397925415309e+05 7.162519910626388155e+05 7.387132227655892493e+05
9.989661726508784341e+04 1.032496372946659336e+06 1.032496372946659413e+00 6.796758259959246789e+04 6.987861650036307401e+04 7.114944651096756570e+04 7.205645755362226919e+04 7.308797017554103513e+04 7.455138009589626745e+04 7.607684720793314045e+04 7.805916021200419345e+04 8.055333938505730475e+04 6.796758259959246118e+01 6.987861650036307992e+01 7.114944651096756445e+01 7.205645755362226623e+01 7.308797017554103093e+01 7.455138009589626336e+01 7.607684720793314170e+01 7.805916021200418697e+01 8.055333938505729918e+01 6.796758259959246498e+05 6.987861650036307983e+05 7.114944651096756570e+05 7.205645755362226628e+05 7.308797017554104095e+05 7.455138009589626454e+05 7.607684720793314045e+05 7.805916021200419636e+05 8.055333938505729893e+05
1.021264524718978355e+05 1.055543166985647287e+06 1.055543166985647208e+00 7.237900487497633731e+04 7.439873731779732043e+04 7.583596322062959371e+04 7.717981249029892206e+04 7.874652668214793084e+04 8.015177482544645318e+04 8.194380422964660102e+04 8.395702914870645327e+04 8.660658325879504264e+04 7.237900487497633151e+01 7.439873731779732680e+01 7.583596322062959416e+01 7.717981249029892865e+01 7.874652668214793039e+01 8.015177482544645216e+01 8.194380422964660227e+01 8.395702914870645373e+01 8.660658325879504105e+01 7.237900487497634022e+05 7.439873731779732043e+05 7.583596322062959662e+05 7.717981249029891333e+05 7.874652668214791920e+05 8.015177482544644736e+05 8.194380422964659519e+05 8.395702914870644454e+05 8.660658325879502809e+05
1.043562876787078276e+05 1.078589961024635006e+06 1.078589961024635002e+00 7.755596066696269554e+04 8.062991391026320343e+04 8.228681647633177636e+04 8.388902153153065592e+04 8.568038494788424578e+04 8.707672573626489611e+04 8.911201681123691378e+04 9.115955546096911712e+04 9.465826143314808724e+04 7.755596066696269020e+01 8.062991391026319832e+01 8.228681647633177931e+01 8.388902153153065910e+01 8.568038494788424941e+01 8.707672573626489054e+01 8.911201681123691287e+01 9.115955546096911633e+01 9.465826143314808405e+01 7.755596066696268972e+05 8.062991391026319470e+05 8.228681647633176763e+05 8.388902153153064428e+05 8.568038494788424578e+05 8.707672573626488447e+05 8.911201681123691378e+05 9.115955546096911421e+05 9.465826143314808141e+05
1.065861228855178488e+05 1.101636755063623423e+06 1.101636755063623463e+00 8.191992891252484696e+04 8.620604485418896365e+04 8.841289219789042545e+04 9.024749901285485248e+04 9.213295570937660523e+04 9.415273969484514964e+04 9.624534867078442767e+04 9.875505476325728523e+04 1.021369558139653091e+05 8.191992891252485265e+01 8.620604485418895990e+01 8.841289219789042875e+01 9.024749901285484555e+01 9.213295570937660273e+01 9.415273969484515248e+01 9.624534867078442346e+01 9.875505476325729148e+01 1.021369558139653151e+02 8.191992891252483241e+05 8.620604485418896656e+05 8.841289219789041672e+05 9.024749901285485830e+05 9.213295570937659359e+05 9.415273969484515255e+05 9.624534867078441894e+05 9.875505476325728232e+05 1.021369558139652945e+06
1.088159580923278409e+05 1.124683549102611141e+06 1.124683549102611035e+00 8.772921963587007485e+04 9.183820387524752005e+04 9.513272239532368258e+04 9.765868504181106982e+04 9.952088211988893454e+04 1.025170617851798161e+05 1.055712879649374954e+05 1.087490440093625075e+05 1.131875040231309977e+05 8.772921963587008065e+01 9.183820387524751538e+01 9.513272239532368246e+01 9.765868504181106857e+01 9.952088211988893818e+01 1.025170617851798198e+02 1.055712879649374969e+02 1.087490440093625068e+02 1.131875040231309981e+02 8.772921963587006321e+05 9.183820387524751713e+05 9.513272239532368258e+05 9.765868504181107273e+05 9.952088211988892872e+05 1.025170617851798073e+06 1.055712879649374867e+06 1.087490440093624871e+06 1.131875040231309831e+06
1.110457932991378329e+05 1.147730343141599093e+06 1.147730343141599052e+00 9.564066290831484366e+04 9.931165889932218124e+04 1.022659459857712209e+05 1.046951279262026801e+05 1.070292513038491597e+05 1.088151402274694847e+05 1.126431598376173934e+05 1.159341424668063555e+05 1.199605552003811317e+05 9.564066290831483741e+01 9.931165889932218249e+01 1.022659459857712250e+02 1.046951279262026731e+02 1.070292513038491649e+02 1.088151402274694846e+02 1.126431598376173895e+02 1.159341424668063496e+02 1.199605552003811368e+02 9.564066290831484366e+05 9.931165889932217542e+05 1.022659459857712151e+06 1.046951279262026772e+06 1.070292513038491365e+06 1.088151402274694759e+06 1.126431598376173759e+06 1.159341424668063410e+06 1.199605552003811346e+06
1.132756285059478250e+05 1.170777137180587044e+06 1.170777137180587069e+00 1.005268731937060656e+05 1.047273552728568466e+05 1.086753231497832894e+05 1.113190715409709519e+05 1.139319038585346716e+05 1.163501260270001076e+05 1.196317574733658548e+05 1.242308665761451120e+05 1.297385149845295819e+05 1.005268731937060664e+02 1.047273552728568404e+02 1.086753231497832957e+02 1.113190715409709526e+02 1.139319038585346675e+02 1.163501260270001012e+02 1.196317574733658518e+02 1.242308665761451181e+02 1.297385149845295871e+02 1.005268731937060598e+06 1.047273552728568320e+06 1.086753231497832807e+06 1.113190715409709373e+06 1.139319038585346658e+06 1.163501260270001134e+06 1.196317574733658694e+06 1.242308665761451004e+06 1.297385149845295586e+06
1.155054637127578317e+05 1.193823931219574995e+06 1.193823931219575085e+00 1.073278822782584321e+05 1.128412001786689943e+05 1.167594060678656242e+05 1.199502675148188282e+05 1.226664495099044580e+05 1.264266651100429735e+05 1.300142784386750282e+05 1.349899748839005479e+05 1.423801362041128159e+05 1.073278822782584285e+02 1.128412001786689984e+02 1.167594060678656263e+02 1.199502675148188331e+02 1.226664495099044530e+02 1.264266651100429755e+02 1.300142784386750350e+02 1.349899748839005440e+02 1.423801362041128300e+02 1.073278822782584466e+06 1.128412001786689740e+06 1.167594060678656213e+06 1.199502675148188369e+06 1.226664495099044405e+06 1.264266651100429706e+06 1.300142784386750311e+06 1.349899748839005362e+06 1.423801362041128334e+06
1.177352989195678238e+05 1.216870725258562947e+06 1.216870725258562880e+00 1.171302400486783445e+05 1.221884933830481168e+05 1.261676196505080588e+05 1.291321692882562493e+05 1.335162144273044833e+05 1.373764855915344669e+05 1.420741070785905758e+05 1.469766872164452507e+05 1.564145390081572405e+05 1.171302400486783455e+02 1.221884933830481117e+02 1.261676196505080583e+02 1.291321692882562502e+02 1.335162144273044760e+02 1.373764855915344754e+02 1.420741070785905720e+02 1.469766872164452423e+02 1.564145390081572486e+02 1.171302400486783357e+06 1.221884933830481023e+06 1.261676196505080676e+06 1.291321692882562522e+06 1.335162144273044774e+06 1.373764855915344786e+06 1.420741070785905700e+06 1.469766872164452216e+06 1.564145390081572114e+06
1.199651341263778304e+05 1.239917519297550898e+06 1.239917519297550896e+00 1.217288423985807894e+05 1.296245674355222582e+05 1.336061386357264419e+05 1.384530183811583847e+05 1.432423383592299651e+05 1.473429537758326915e+05 1.517738926962132391e+05 1.567251436922705034e+05 1.637122538610527699e+05 1.217288423985807952e+02 1.296245674355222661e+02 1.336061386357264382e+02 1.384530183811583868e+02 1.432423383592299615e+02 1.473429537758326830e+02 1.517738926962132382e+02 1.567251436922705068e+02 1.637122538610527727e+02 1.217288423985807691e+06 1.296245674355222611e+06 1.336061386357264360e+06 1.384530183811583789e+06 1.432423383592299651e+06 1.473429537758326856e+06 1.517738926962132566e+06 1.567251436922705034e+06 1.637122538610527525e+06
1.221949693331878225e+05 1.262964313336538849e+06 1.262964313336538913e+00 1.329290424454288150e+05 1.398259162429703865e+05 1.449857624693735852e+05 1.494050368256236252e+05 1.539985587982931174e+05 1.593000825534324977e+05 1.650236331605341984e+05 1.708958392803956522e+05 1.827591851198365039e+05 1.329290424454288200e+02 1.398259162429703792e+02 1.449857624693735829e+02 1.494050368256236254e+02 1.539985587982931179e+02 1.593000825534325031e+02 1.650236331605341888e+02 1.708958392803956485e+02 1.827591851198365021e+02 1.329290424454288324e+06 1.398259162429703865e+06 1.449857624693735968e+06 1.494050368256236194e+06 1.539985587982931174e+06 1.593000825534324860e+06 1.650236331605341984e+06 1.708958392803956522e+06 1.827591851198364981e+06
1.244248045399978291e+05 1.286011107375526801e+06 1.286011107375526707e+00 1.404383538232348219e+05 1.505743780003713618e+05 1.569993054304090911e+05 1.623674949502278760e+05 1.661820734239231097e+05 1.718551798769604065e+05 1.775679307548475626e+05 1.869987629251171311e+05 1.961943879244056297e+05 1.404383538232348201e+02 1.505743780003713539e+02 1.569993054304090947e+02 1.623674949502278650e+02 1.661820734239231001e+02 1.718551798769604204e+02 1.775679307548475663e+02 1.869987629251171199e+02 1.961943879244056177e+02 1.404383538232348394e+06 1.505743780003713444e+06 1.569993054304090794e+06 1.623674949502278818e+06 1.661820734239231097e+06 1.718551798769603949e+06 1.775679307548475452e+06 1.869987629251171136e+06 1.961943879244056297e+06
1.266546397468078212e+05 1.309057901414514752e+06 1.309057901414514724e+00 1.497459505441686488e+05 1.592145821787576715e+05 1.655066996286716021e+05 1.727681062903620186e+05 1.788362835710762884e+05 1.852621756549322745e+05 1.924166404223087884e+05 2.020379555007477175e+05 2.120980664763617388e+05 1.497459505441686360e+02 1.592145821787576665e+02 1.655066996286716119e+02 1.727681062903620273e+02 1.788362835710762795e+02 1.852621756549322640e+02 1.924166404223088023e+02 2.020379555007477279e+02 2.120980664763617369e+02 1.497459505441686604e+06 1.592145821787576424e+06 1.655066996286716079e+06 1.727681062903620070e+06 1.788362835710762534e+06 1.852621756549322745e+06 1.924166404223087709e+06 2.020379555007477291e+06 2.120980664763617329e+06
1.288844749536178133e+05 1.332104695453502703e+06 1.332104695453502741e+00 1.577895144524617936e+05 1.693207587325503991e+05 1.765364458211004967e+05 1.830365771642854670e+05 1.896429862082524050e+05 1.961555471720571804e+05 2.028725204713926360e+05 2.133708359356561559e+05 2.271099625539423141e+05 1.577895144524617876e+02 1.693207587325503880e+02 1.765364458211005001e+02 1.830365771642854611e+02 1.896429862082524096e+02 1.961555471720571688e+02 2.028725204713926473e+02 2.133708359356561459e+02 2.271099625539423243e+02 1.577895144524617819e+06 1.693207587325503817e+06 1.765364458211004734e+06 1.830365771642854437e+06 1.896429862082523759e+06 1.961555471720571630e+06 2.028725204713926418e+06 2.133708359356561210e+06 2.271099625539422967e+06
1.311143101604278199e+05 1.355151489492490655e+06 1.355151489492490757e+00 1.695168433091352636e+05 1.806083380363891774e+05 1.884317640147843631e+05 1.952189714629744121e+05 2.047951645019477583e+05 2.113570628880365111e+05 2.213528195649168629e+05 2.333042900513508066e+05 2.500307290043125395e+05 1.695168433091352540e+02 1.806083380363891706e+02 1.884317640147843633e+02 1.952189714629744230e+02 2.047951645019477667e+02 2.113570628880365234e+02 2.213528195649168708e+02 2.333042900513508187e+02 2.500307290043125477e+02 1.695168433091352461e+06 1.806083380363891833e+06 1.884317640147843398e+06 1.952189714629743947e+06 2.047951645019477233e+06 2.113570628880364820e+06 2.213528195649168454e+06 2.333042900513507891e+06 2.500307290043125395e+06
